City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,East London,ZA,2021-03-04 04:45:30,-33.0153,27.9116,69.8,88,90,8.05
169,Faya,SA,2021-03-04 04:45:30,18.3851,42.4509,57.2,82,0,11.5
170,Galiakot,IN,2021-03-04 04:45:31,23.5167,74.0,86.74,8,0,0.94
171,Kwinana,AU,2021-03-04 04:45:31,-32.25,115.7667,80.6,61,75,14.97
172,Bayshore Gardens,US,2021-03-04 04:45:31,27.4253,-82.5904,62.01,77,90,9.22
173,Marica,BR,2021-03-04 04:42:14,-22.9194,-42.8186,84.0,83,0,2.3
174,Ossora,RU,2021-03-04 04:45:32,59.2353,163.0719,-1.26,80,95,19.64
175,Lebu,CL,2021-03-04 04:45:32,-37.6167,-73.65,59.4,85,0,16.49
176,Codrington,AU,2021-03-04 04:45:33,-38.2667,141.9667,62.82,71,100,15.26
177,Tocopilla,CL,2021-03-04 04:45:33,-22.092,-70.1979,68.4,84,6,3.02
178,Kodinsk,RU,2021-03-04 04:45:33,58.6881,99.1844,-9.58,85,91,6.17
179,Tuatapere,NZ,2021-03-04 04:45:33,-46.1333,167.6833,66.0,51,74,5.01
180,Nome,US,2021-03-04 04:42:22,64.5011,-165.4064,-2.2,71,1,8.05
181,Aripuana,BR,2021-03-04 04:45:34,-9.1667,-60.6333,70.21,98,100,1.48
182,Ewa Beach,US,2021-03-04 04:42:48,21.3156,-158.0072,75.2,57,1,8.05
183,Dmitriyevskoye,RU,2021-03-04 04:45:34,45.8053,41.8967,32.56,95,50,9.28
184,Capitan Bado,PY,2021-03-04 04:45:35,-23.2667,-55.5333,70.43,93,23,11.79
185,Soubre,CI,2021-03-04 04:45:35,5.7856,-6.6083,74.52,96,55,3.24
186,Makakilo City,US,2021-03-04 04:45:36,21.3469,-158.0858,75.2,57,1,8.05
187,Broome,US,2021-03-04 04:42:15,42.2506,-75.833,34.0,80,90,5.75
188,Tasiilaq,GL,2021-03-04 04:45:36,65.6145,-37.6368,32.0,69,90,10.36
189,Port Keats,AU,2021-03-04 04:45:36,-14.25,129.55,90.03,64,76,7.96
190,Eyl,SO,2021-03-04 04:45:37,7.9803,49.8164,78.4,69,25,16.84
191,Kupang,ID,2021-03-04 04:45:37,-10.1667,123.5833,84.2,89,75,14.97
192,Aklavik,CA,2021-03-04 04:45:37,68.2191,-135.0107,-20.2,76,97,3.44
193,Ukholovo,RU,2021-03-04 04:45:38,53.7929,40.4892,34.0,73,100,20.54
194,Pangkalanbuun,ID,2021-03-04 04:44:36,-2.6833,111.6167,84.87,79,71,3.02
195,Alenquer,BR,2021-03-04 04:45:38,-1.9417,-54.7383,77.0,88,75,13.8
196,Kiunga,PG,2021-03-04 04:45:39,-6.1219,141.2906,85.19,73,100,6.2
197,Victoria,HK,2021-03-04 04:45:11,22.2855,114.1577,66.99,89,91,1.99
198,Bardiyah,LY,2021-03-04 04:45:39,31.7561,25.0865,53.37,71,0,5.21
199,Thompson,CA,2021-03-04 04:45:40,55.7435,-97.8558,10.4,92,1,2.3
200,Ancud,CL,2021-03-04 04:44:19,-41.8697,-73.8203,53.01,87,40,5.75
201,Elmadag,TR,2021-03-04 04:45:40,39.9208,33.2308,30.99,86,0,1.14
202,Hasaki,JP,2021-03-04 04:45:41,35.7333,140.8333,55.0,58,75,8.05
203,Ca Mau,VN,2021-03-04 04:45:41,9.1769,105.15,92.95,42,0,16.93
204,Mingyue,CN,2021-03-04 04:45:41,43.1069,128.9217,45.54,57,8,9.15
205,Darnah,LY,2021-03-04 04:43:04,32.767,22.6367,55.51,71,15,16.78
206,Margate,GB,2021-03-04 04:45:42,51.3813,1.3862,44.01,91,100,1.99
207,Pajapan,MX,2021-03-04 04:45:42,18.25,-94.7,69.85,86,48,5.75
208,Kuminskiy,RU,2021-03-04 04:45:43,58.6667,66.5667,20.26,97,100,7.36
209,Vila Velha,BR,2021-03-04 04:45:43,-20.3297,-40.2925,73.4,94,20,3.44
210,Palmer,US,2021-03-04 04:45:44,42.1584,-72.3287,39.2,56,75,8.05
211,Khatanga,RU,2021-03-04 04:45:44,71.9667,102.5,-30.05,88,0,6.87
212,Bara,NG,2021-03-04 04:45:44,10.3744,10.7288,73.6,19,5,10.25
213,Ginir,ET,2021-03-04 04:45:45,7.1333,40.7,60.67,57,0,5.08
214,Tilichiki,RU,2021-03-04 04:44:35,60.4667,166.1,0.95,80,100,21.23
215,Olga,RU,2021-03-04 04:45:45,43.7444,135.2892,41.41,72,20,17.16
216,Mehamn,NO,2021-03-04 04:45:46,71.0357,27.8492,28.4,69,40,16.11
217,Kumo,NG,2021-03-04 04:45:46,10.0447,11.2122,71.94,20,37,13.11
218,Kuching,MY,2021-03-04 04:45:46,1.55,110.3333,87.01,83,40,8.05
219,Along,IN,2021-03-04 04:45:47,28.1667,94.7667,78.15,34,78,2.53
220,Cayenne,GF,2021-03-04 04:45:47,4.9333,-52.3333,79.0,89,75,2.3
221,Kjopsvik,NO,2021-03-04 04:45:47,68.097,16.3742,28.99,100,90,12.66
222,Sobolevo,RU,2021-03-04 04:45:47,54.4299,31.8996,30.83,97,69,9.73
223,Bolton,GB,2021-03-04 04:40:51,53.5833,-2.4333,39.99,76,67,7.2
224,Bambous Virieux,MU,2021-03-04 04:45:48,-20.3428,57.7575,82.0,89,40,3.44
225,Vanimo,PG,2021-03-04 04:45:48,-2.6741,141.3028,83.03,75,65,10.71
226,Zhigansk,RU,2021-03-04 04:45:49,66.7697,123.3711,-27.33,82,100,8.39
227,Geraldton,AU,2021-03-04 04:45:49,-28.7667,114.6,82.4,57,75,17.27
228,Oudtshoorn,ZA,2021-03-04 04:45:49,-33.5907,22.2014,57.2,94,0,4.61
229,Ayagoz,KZ,2021-03-04 04:42:51,47.9714,80.4392,14.86,79,5,2.82
230,Porto Novo,BJ,2021-03-04 04:45:50,6.4965,2.6036,84.2,84,40,12.66
231,Viransehir,TR,2021-03-04 04:45:50,37.2353,39.7631,49.35,61,10,17.0
232,La Asuncion,VE,2021-03-04 04:45:51,11.0333,-63.8628,73.35,91,0,8.39
233,Marzuq,YE,2021-03-04 04:45:51,14.4,46.4667,70.32,29,0,4.72
234,Egvekinot,RU,2021-03-04 04:45:51,66.3167,-179.1667,-4.32,95,100,11.92
235,Newport,GB,2021-03-04 04:45:52,51.5877,-2.9984,44.01,93,92,10.58
236,Thunder Bay,CA,2021-03-04 04:45:52,48.4001,-89.3168,15.8,67,1,4.61
237,Hay River,CA,2021-03-04 04:42:16,60.8156,-115.7999,-9.4,77,96,3.44
238,Wuwei,CN,2021-03-04 04:45:52,37.9281,102.6414,51.4,33,64,14.18
239,Sioux Lookout,CA,2021-03-04 04:45:05,50.1001,-91.917,15.8,62,1,3.44
240,Vila Franca Do Campo,PT,2021-03-04 04:42:35,37.7167,-25.4333,60.8,94,75,13.8
241,Nantucket,US,2021-03-04 04:45:53,41.2835,-70.0995,37.99,76,3,16.2
242,Penalva,BR,2021-03-04 04:43:15,-3.2942,-45.1736,72.48,98,27,2.24
243,Diffa,NE,2021-03-04 04:45:54,13.3154,12.6113,68.94,28,54,10.96
244,Usakos,NA,2021-03-04 04:45:54,-22.0,15.6,73.33,51,0,8.19
245,Marsh Harbour,BS,2021-03-04 04:45:54,26.5412,-77.0636,73.35,83,57,13.6
246,Kruisfontein,ZA,2021-03-04 04:45:54,-34.0033,24.7314,62.01,94,0,1.01
247,Nata,PA,2021-03-04 04:45:55,8.3333,-80.5167,74.62,70,10,9.4
248,Krasnoarmeysk,RU,2021-03-04 04:45:55,51.0239,45.6969,25.0,72,89,8.99
249,Katsuyama,JP,2021-03-04 04:45:55,36.0617,136.501,62.6,36,75,14.97
250,Lata,PT,2021-03-04 04:42:13,40.1629,-8.3327,57.0,89,100,1.01
251,Pasighat,IN,2021-03-04 04:45:55,28.0667,95.3333,84.76,28,62,1.99
252,De-Kastri,RU,2021-03-04 04:45:56,51.4667,140.7833,28.94,89,100,3.87
