City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Perth,AU,-31.9333,115.8333,60.01,62,0,16.11,clear sky
191,Luderitz,NA,-26.6481,15.1594,67.86,72,0,10.58,clear sky
192,Sakakah,SA,29.9697,40.2064,59.0,36,0,3.44,clear sky
193,Kirakira,SB,-10.4544,161.9205,77.23,89,100,6.87,moderate rain
194,Hervey Bay,AU,-25.2986,152.8535,80.01,80,56,4.0,broken clouds
195,Husavik,IS,66.0449,-17.3389,21.2,79,40,9.22,light snow
196,Novikovo,RU,51.1537,37.8879,32.7,98,100,8.59,overcast clouds
197,Cururupu,BR,-1.8283,-44.8683,74.62,96,43,3.36,scattered clouds
198,Baker City,US,44.7749,-117.8344,59.0,29,1,14.97,clear sky
199,Asau,RO,46.4333,26.4,36.0,60,5,5.21,clear sky
200,Qobu,AZ,40.4047,49.7131,35.6,80,90,9.22,overcast clouds
201,Atherton,GB,53.5237,-2.4935,45.0,82,99,7.0,overcast clouds
202,Saint-Pierre,RE,-21.3393,55.4781,75.2,73,0,6.91,clear sky
203,Yeppoon,AU,-23.1333,150.7333,80.6,69,29,5.75,scattered clouds
204,Wanxian,CN,30.8039,108.3897,60.66,85,17,3.31,few clouds
205,Ust-Nera,RU,64.5667,143.2,-17.03,91,1,2.26,clear sky
206,Hami,CN,42.8,93.45,48.13,35,1,4.88,clear sky
207,Geraldton,AU,-28.7667,114.6,71.6,37,0,25.32,clear sky
208,Visnes,NO,59.3556,5.2242,39.2,87,75,14.97,broken clouds
209,Morehead,US,37.2711,-87.1764,57.99,35,90,6.08,overcast clouds
210,Ostrovnoy,RU,68.0531,39.5131,11.52,92,85,13.2,overcast clouds
211,Cabot,US,34.9745,-92.0165,68.0,68,90,9.22,overcast clouds
212,Dunedin,NZ,-45.8742,170.5036,62.01,68,0,4.0,clear sky
213,Linfen,CN,36.0889,111.5189,51.37,72,60,4.0,broken clouds
214,Imbituba,BR,-28.24,-48.6703,78.8,78,20,5.75,few clouds
215,Antofagasta,CL,-23.65,-70.4,69.8,73,20,12.66,few clouds
216,Boda,CF,4.3189,17.4695,75.15,80,92,3.74,light rain
217,Markova,UA,48.6758,24.4138,39.9,73,98,11.81,overcast clouds
218,Buala,SB,-8.145,159.5921,84.38,68,94,5.46,overcast clouds
219,Monastyrshchina,RU,54.3496,31.838,33.73,98,100,9.82,overcast clouds
220,Tambura,SS,5.6,27.4667,74.5,57,59,1.41,broken clouds
221,Sitka,US,57.0531,-135.33,33.8,55,20,13.8,few clouds
222,San Juan,AR,-31.5375,-68.5364,81.68,39,81,9.48,light rain
223,Jawhar,SO,2.7809,45.5005,74.17,93,63,4.5,broken clouds
224,Phuntsholing,BT,26.8516,89.3884,70.41,45,97,4.16,overcast clouds
225,Guerrero Negro,MX,27.9769,-114.0611,61.88,49,0,20.31,clear sky
226,Anchorage,US,61.2181,-149.9003,12.2,44,1,2.17,clear sky
227,Alihe,CN,50.5667,123.7167,25.39,87,13,3.31,few clouds
228,Shemonaikha,KZ,50.6328,81.9056,-12.17,98,40,3.42,scattered clouds
229,College,US,64.8569,-147.8028,5.0,55,1,2.55,clear sky
230,Am Timan,TD,11.0297,20.2827,84.9,14,36,2.93,scattered clouds
231,Cerqueira Cesar,BR,-23.0356,-49.1661,69.94,77,4,3.31,clear sky
232,Mataram,ID,-8.5833,116.1167,77.0,100,40,3.44,scattered clouds
