City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
502,Januaria,BR,72.7,clear sky,-15.4833,-44.3667,Hotel Paraguassu
508,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
511,Sao Miguel Do Araguaia,BR,75.13,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
513,Granja,BR,74.71,scattered clouds,-3.1203,-40.8261,Pousada Casa Grande
514,Monrovia,LR,77.0,broken clouds,6.3005,-10.7969,Sunset Inn
528,Waingapu,ID,79.39,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
536,Kattivakkam,IN,75.2,mist,13.2167,80.3167,Raj's villa
549,Alyangula,AU,77.0,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
550,Arlit,NE,73.8,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
554,Tabou,CI,78.91,moderate rain,4.423,-7.3528,hotêl doufoulougou
562,Negombo,LK,77.0,few clouds,7.2083,79.8358,Hotel Sunset Beach
563,Kailua,US,73.4,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
566,Baytown,US,77.0,broken clouds,29.7355,-94.9774,Econo Lodge
571,Pangkalanbuun,ID,73.26,light rain,-2.6833,111.6167,Grand Kecubung Hotel
572,Eravur,LK,77.58,scattered clouds,7.7733,81.6095,Farhan KING House
575,Dickinson,US,77.0,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
577,Chicama,PE,73.4,few clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
580,Bengkulu,ID,75.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
587,Zaraza,VE,78.89,overcast clouds,9.3503,-65.3245,Hotel Zaraza
590,Caravelas,BR,75.81,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
595,Sao Joao Da Barra,BR,76.51,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
596,Skeldon,GY,74.08,broken clouds,5.8833,-57.1333,Rits Hotel
602,San-Pedro,CI,79.63,light rain,4.7485,-6.6363,Hotel Maria
603,Dabola,GN,77.9,scattered clouds,10.75,-11.1167,Hotel Tinkisso
604,Cameta,BR,77.02,overcast clouds,-2.2444,-49.4958,Hotel San Juan
606,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
612,Beitbridge,ZW,72.55,few clouds,-22.2167,30.0,PETERS MOTEL & CONFERENCE CENTRE
613,Balabac,PH,79.11,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
615,Samana,DO,78.8,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
617,Bandarbeyla,SO,77.43,scattered clouds,9.4942,50.8122,JABIR HOTEL
622,Mahuva,IN,74.84,clear sky,21.0914,71.7622,Hotel Blue Diamond.
629,Ambilobe,MG,74.32,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
636,Tabat,ID,74.39,broken clouds,-2.635,115.2274,Perumahan PNS Senga Permai
648,Resplendor,BR,71.8,clear sky,-19.3256,-41.2553,Pousada Bixu de Pé
650,Port Blair,IN,78.71,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
658,Sibolga,ID,75.56,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
660,Piracuruca,BR,74.46,broken clouds,-3.9281,-41.7092,Pousada Piracuruca
662,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
664,Rivera,UY,76.21,broken clouds,-30.9053,-55.5508,Hotel Casino & Resort Rivera
668,Bodden Town,KY,78.8,scattered clouds,19.2833,-81.25,Will T Place
669,Buchanan,LR,77.0,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
670,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
683,Pemangkat,ID,76.01,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
684,Punta Alta,AR,73.81,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
690,Baculin,PH,79.5,light rain,7.4525,126.5842,Shovy's Cove
695,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
